Query,Dimensione,Tempo prima esecuzione,Tempo delle 30 esecuzioni,Tempo medio,Intervallo di confidenza sup,Intervallo di confidenza inf
Query1,25%,0.03409385681152344,0.2663135528564453,0.006657838821411133,0.006836791477842839,0.0064788861649794265
Query1,50%,0.022649765014648438,0.2620220184326172,0.00655055046081543,0.006664017250050281,0.006437083671580578
Query1,75%,0.025987625122070312,0.26679039001464844,0.006669759750366211,0.007014085231761743,0.006325434268970679
Query1,100%,0.02765655517578125,0.26917457580566406,0.0067293643951416016,0.006923403751630589,0.006535325038652614
Query2,25%,145.80678939819336,5190.72413444519,129.76810336112976,131.5929539870893,127.94325273517023
Query2,50%,227.76055335998535,8713.947057723999,217.84867644309998,221.06758299926594,214.629769886934
Query2,75%,193.59827041625977,7393.698930740356,184.8424732685089,185.90543791535617,183.77950862166165
Query2,100%,222.56135940551758,8973.384141921997,224.33460354804993,228.6997757850888,219.96943131101105
Query3,25%,178.7545680999756,7081.678628921509,177.04196572303772,178.5219634678822,175.56196797819325
Query3,50%,389.6517753601074,15799.140214920044,394.9785053730011,403.153541200801,386.8034695452012
Query3,75%,605.186939239502,24838.025093078613,620.9506273269653,627.6545932744871,614.2466613794436
Query3,100%,874.6581077575684,36912.307024002075,922.8076756000519,946.5881551445443,899.0271960555594
Query4,25%,344.4685935974121,13584.924221038818,339.62310552597046,345.05256158501516,334.19364946692576
Query4,50%,662.8844738006592,28006.85954093933,700.1714885234833,710.2928487228947,690.0501283240718
Query4,75%,1085.8595371246338,41810.02688407898,1045.2506721019745,1052.9739964062983,1037.5273477976507
Query4,100%,1374.326229095459,56641.76893234253,1416.0442233085632,1427.5755355948534,1404.512911022273
